"season.1998.1999","season.1999.2000","season.2000.2001","season.2001.2002","season.2002.2003","season.2003.2004","season.2004.2005","season.2005.2006","season.2006.2007","season.2007.2008","season.2008.2009","season.2010.2011","season.2011.2012","season.2012.2013","season.2013.2014","season.2014.2015","season.2015.2016","season.2016.2017","season.2017.2018","season.2018.2019","season.2019.2020"
27.5,15.4,19.7,4.8,8.4,18.6,20,9.4,8.9,10.2,8,10.8,10.7,8.6,5.9,7.2,3.9,5.7,21.4,25.6,3
27.5,20.2,19.7,8,13.5,39,18.7,11.3,9.7,10.2,14.5,11.8,8,5.9,8.2,9.9,6.1,9.7,22.5,24.5,5
40.4,31.4,29.3,11.2,12.2,45.4,22.7,11.3,12.1,15.3,13,18.3,13.4,9.1,11.8,9.9,7.8,8.5,23,26.8,6
36.7,34.6,25,12.2,19.9,67.1,20,15.1,14.5,20.4,16.7,17.2,17.9,14,10.6,11.2,10.6,8.5,24,28.6,6
31.2,25,19.7,8,11,113.1,20,11.3,10.5,15.3,13,17.2,17,9.7,10,9.9,11.1,10.2,24,27.4,10
29.4,26.6,21.8,15.4,14.8,182,28,18.9,21,18.4,21,19.4,19.6,16.1,12.4,11.2,10.6,18.2,31.2,32.6,10
33,34.6,27.1,19.7,22.4,220.3,33.3,22.6,21,30.6,23.9,19.4,22.3,15.6,14.7,13.2,11.1,23.9,32.3,30.9,13
33,42,21.8,25,17.3,221.6,25.3,26.4,24.2,46.9,31.9,21.5,23.2,14.5,14.7,13.2,12.2,30.1,37.4,31.5,21
51.4,38.8,18.6,20.7,27.6,187.1,33.3,28.3,24.2,62.2,39.1,23.7,27.7,18.3,17.1,18.4,16.7,36.4,45.6,30.9,17
51.4,32.4,14.4,15.4,32.7,150.1,33.3,13.2,14.5,58.2,52.2,17.2,17,14.5,18.8,19.7,14.4,32.4,45.6,35.6,18
75.2,80.3,16.5,19.7,50.5,110.5,70.7,30.2,29,73.5,72.5,43,28.6,20.4,28.2,24.3,12.8,63.1,86.4,44.3,29
69.7,112.2,18.6,32.4,82.4,95.2,86.7,26.4,30.6,118.4,127.5,88.2,43.8,25.8,37.6,35.5,21.1,90.9,130.7,55.3,34
133.9,269.7,14.4,39.9,64.6,59.5,193.3,28.3,43.5,143.9,157.2,154.8,61.6,23.1,51.2,29.6,18.3,145.5,218.8,50.1,30
238.5,322.9,20.7,61.2,54.4,55.6,350.7,24.5,47.6,148,219.6,206.5,53.6,22.6,95.3,36.8,17.2,183,232.7,68.1,56
343.1,446.8,30.3,198.4,59.5,55,532,32.1,96,202,182.6,240.9,94.6,47.8,159.4,91.4,26.7,226.7,256.4,129.8,106
427.5,419.7,29.3,280.3,109.3,48,508,34,145.2,191.8,208,224.7,141.1,90.9,280.6,211.8,44.4,227.8,286.8,219.9,206
411,345.2,29.3,387.8,139.3,49.3,336,34,204.8,166.3,163.8,205.4,193.3,153.2,290.6,306.6,79.4,192.6,254.4,261.2,259
345,245.2,32.4,380.3,124.6,36.5,228,37.7,249.2,140.8,126.1,178.5,211.6,200,215.3,344.1,137.8,138.1,201.3,256,273
280.7,116.5,30.3,305.9,108,30.1,154.7,45.3,256.5,123.5,85.5,152.7,244.6,215.1,152.4,275.7,156.1,88.6,158,215.3,225
293.6,71.8,34.6,222.9,102.2,25,104,52.8,188.7,116.3,58,120.4,250.4,226.3,101.2,240.1,175.6,51.1,142,168.2,161
233,38.3,33.5,163.3,95.2,23.7,88,73.6,122.6,94.9,52.2,82.8,197.8,228.5,71.2,184.2,167.8,31.8,113.6,118.8,97
161.5,23.9,36.7,110.1,73.5,21.2,69.3,101.9,79.8,69.4,45.7,53.8,140.2,167.2,46.5,144.7,195,18.8,87.3,81.5,75
86.2,21.8,39.9,77.1,59.5,25,60,137.7,46,43.9,36.2,38.7,87.5,167.7,34.7,97.4,177.2,12.5,65.2,49.5,68
42.2,17.6,39.9,52.7,42.9,26.3,49.3,166,34.7,41.8,30.4,33.3,57.1,109.7,20,63.8,187.8,9.7,49.7,33.8,45
33,16.5,35.6,27.1,40.3,16.1,22.7,149.1,33.1,17.3,19.6,23.7,35.3,89.8,17.1,44.1,183.3,8,34.7,26.3,5
14.7,16.5,29.3,16.5,46.7,12.2,24,103.8,25.8,23.5,18.8,22.6,22.8,36.6,12.4,25.7,112.2,5.7,17.2,14.1,1
16.5,18.6,27.1,13.3,39,18.6,20,67.9,12.1,17.3,12.3,10.8,14.3,25.3,12.9,11.2,60.6,5.1,17.2,14.7,2
14.7,21.8,17.6,13.3,30.1,9.7,18.7,26.4,20.2,16.3,8.7,10.8,14.3,19.4,9.4,11.2,41.1,4.5,11.5,11.7,2
14.7,8,16.5,12.2,12.2,16.1,18.7,22.6,10.5,13.3,9.4,4.3,13.4,14,4.1,8.6,30,1.7,7.4,5.9,0
14.7,6.9,16.5,10.1,18.6,11,16,9.4,9.7,7.1,6.5,6.5,11.2,9.1,4.1,4.6,22.2,5.1,4.3,5.9,0
