season,year,week,inc_per_100000
1998/1999,1998,40,27.5
1998/1999,1998,41,27.5
1998/1999,1998,42,40.4
1998/1999,1998,43,36.7
1998/1999,1998,44,31.2
1998/1999,1998,45,29.4
1998/1999,1998,46,33
1998/1999,1998,47,33
1998/1999,1998,48,51.4
1998/1999,1998,49,51.4
1998/1999,1998,50,75.2
1998/1999,1998,51,69.7
1998/1999,1998,52,133.9
1998/1999,1999,1,238.5
1998/1999,1999,2,343.1
1998/1999,1999,3,427.5
1998/1999,1999,4,411
1998/1999,1999,5,345
1998/1999,1999,6,280.7
1998/1999,1999,7,293.6
1998/1999,1999,8,233
1998/1999,1999,9,161.5
1998/1999,1999,10,86.2
1998/1999,1999,11,42.2
1998/1999,1999,12,33
1998/1999,1999,13,14.7
1998/1999,1999,14,16.5
1998/1999,1999,15,14.7
1998/1999,1999,16,14.7
1998/1999,1999,17,14.7
1998/1999,1999,18,11
1998/1999,1999,19,12.8
1998/1999,1999,20,5.5
1999/2000,1999,40,15.4
1999/2000,1999,41,20.2
1999/2000,1999,42,31.4
1999/2000,1999,43,34.6
1999/2000,1999,44,25
1999/2000,1999,45,26.6
1999/2000,1999,46,34.6
1999/2000,1999,47,42
1999/2000,1999,48,38.8
1999/2000,1999,49,32.4
1999/2000,1999,50,80.3
1999/2000,1999,51,112.2
1999/2000,1999,52,269.7
1999/2000,2000,1,322.9
1999/2000,2000,2,446.8
1999/2000,2000,3,419.7
1999/2000,2000,4,345.2
1999/2000,2000,5,245.2
1999/2000,2000,6,116.5
1999/2000,2000,7,71.8
1999/2000,2000,8,38.3
1999/2000,2000,9,23.9
1999/2000,2000,10,21.8
1999/2000,2000,11,17.6
1999/2000,2000,12,16.5
1999/2000,2000,13,16.5
1999/2000,2000,14,18.6
1999/2000,2000,15,21.8
1999/2000,2000,16,8
1999/2000,2000,17,6.9
1999/2000,2000,18,8
1999/2000,2000,19,8
1999/2000,2000,20,6.4
2000/2001,2000,40,19.7
2000/2001,2000,41,19.7
2000/2001,2000,42,29.3
2000/2001,2000,43,25
2000/2001,2000,44,19.7
2000/2001,2000,45,21.8
2000/2001,2000,46,27.1
2000/2001,2000,47,21.8
2000/2001,2000,48,18.6
2000/2001,2000,49,14.4
2000/2001,2000,50,16.5
2000/2001,2000,51,18.6
2000/2001,2000,52,14.4
2000/2001,2001,1,20.7
2000/2001,2001,2,30.3
2000/2001,2001,3,29.3
2000/2001,2001,4,29.3
2000/2001,2001,5,32.4
2000/2001,2001,6,30.3
2000/2001,2001,7,34.6
2000/2001,2001,8,33.5
2000/2001,2001,9,36.7
2000/2001,2001,10,39.9
2000/2001,2001,11,39.9
2000/2001,2001,12,35.6
2000/2001,2001,13,29.3
2000/2001,2001,14,27.1
2000/2001,2001,15,17.6
2000/2001,2001,16,16.5
2000/2001,2001,17,16.5
2000/2001,2001,18,15.4
2000/2001,2001,19,18.6
2000/2001,2001,20,12.2
2001/2002,2001,40,4.8
2001/2002,2001,41,8
2001/2002,2001,42,11.2
2001/2002,2001,43,12.2
2001/2002,2001,44,8
2001/2002,2001,45,15.4
2001/2002,2001,46,19.7
2001/2002,2001,47,25
2001/2002,2001,48,20.7
2001/2002,2001,49,15.4
2001/2002,2001,50,19.7
2001/2002,2001,51,32.4
2001/2002,2001,52,39.9
2001/2002,2002,1,61.2
2001/2002,2002,2,198.4
2001/2002,2002,3,280.3
2001/2002,2002,4,387.8
2001/2002,2002,5,380.3
2001/2002,2002,6,305.9
2001/2002,2002,7,222.9
2001/2002,2002,8,163.3
2001/2002,2002,9,110.1
2001/2002,2002,10,77.1
2001/2002,2002,11,52.7
2001/2002,2002,12,27.1
2001/2002,2002,13,16.5
2001/2002,2002,14,13.3
2001/2002,2002,15,13.3
2001/2002,2002,16,12.2
2001/2002,2002,17,10.1
2001/2002,2002,18,5.9
2001/2002,2002,19,6.9
2001/2002,2002,20,5.3
2002/2003,2002,40,8.4
2002/2003,2002,41,13.5
2002/2003,2002,42,12.2
2002/2003,2002,43,19.9
2002/2003,2002,44,11
2002/2003,2002,45,14.8
2002/2003,2002,46,22.4
2002/2003,2002,47,17.3
2002/2003,2002,48,27.6
2002/2003,2002,49,32.7
2002/2003,2002,50,50.5
2002/2003,2002,51,82.4
2002/2003,2002,52,64.6
2002/2003,2003,1,54.4
2002/2003,2003,2,59.5
2002/2003,2003,3,109.3
2002/2003,2003,4,139.3
2002/2003,2003,5,124.6
2002/2003,2003,6,108
2002/2003,2003,7,102.2
2002/2003,2003,8,95.2
2002/2003,2003,9,73.5
2002/2003,2003,10,59.5
2002/2003,2003,11,42.9
2002/2003,2003,12,40.3
2002/2003,2003,13,46.7
2002/2003,2003,14,39
2002/2003,2003,15,30.1
2002/2003,2003,16,12.2
2002/2003,2003,17,18.6
2002/2003,2003,18,11
2002/2003,2003,19,11
2002/2003,2003,20,5.9
2003/2004,2003,40,18.6
2003/2004,2003,41,39
2003/2004,2003,42,45.4
2003/2004,2003,43,67.1
2003/2004,2003,44,113.1
2003/2004,2003,45,182
2003/2004,2003,46,220.3
2003/2004,2003,47,221.6
2003/2004,2003,48,187.1
2003/2004,2003,49,150.1
2003/2004,2003,50,110.5
2003/2004,2003,51,95.2
2003/2004,2003,52,59.5
2003/2004,2004,1,55.6
2003/2004,2004,2,55
2003/2004,2004,3,48
2003/2004,2004,4,49.3
2003/2004,2004,5,36.5
