"year","week","weighted_ili"
"epiyear_1998",1,0.0157733
"epiyear_1998",1,0.013088
"epiyear_1998",1,0.0141744
"epiyear_1998",1,0.0118272
"epiyear_1998",1,0.0233432
"epiyear_1998",1,0.0181577
"epiyear_1998",1,0.0217975
"epiyear_1998",1,0.021124
"epiyear_1998",1,0.0204854
"epiyear_1998",1,0.0193248
"epiyear_1998",1,0.0190468
"epiyear_1998",1,0.0255983
"epiyear_1998",1,0.0399108
"epiyear_1998",1,0.0308581
"epiyear_1998",1,0.0416383
"epiyear_1998",1,0.0558049
"epiyear_1998",1,0.0525328
"epiyear_1998",1,0.0674667
"epiyear_1998",1,0.0757188
"epiyear_1998",1,0.0687287
"epiyear_1998",2,0.0635098
"epiyear_1998",2,0.0541099
"epiyear_1998",2,0.0455008
"epiyear_1998",2,0.0385915
"epiyear_1998",2,0.0299601
"epiyear_1998",2,0.0197814
"epiyear_1998",2,0.0116887
"epiyear_1998",2,0.0109302
"epiyear_1998",2,0.00633169
"epiyear_1998",2,0.00639561
"epiyear_1998",2,0.0155531
"epiyear_1998",2,0.0080802
"epiyear_1998",2,0.0133997
"epiyear_1998",2,0
"epiyear_1998",2,0
"epiyear_1999",2,0.00831219
"epiyear_1999",2,0.0140445
"epiyear_1999",2,0.0131721
"epiyear_1999",2,0.0138161
"epiyear_1999",2,0.0141607
"epiyear_1999",3,0.0148438
"epiyear_1999",3,0.0152614
"epiyear_1999",3,0.0185336
"epiyear_1999",3,0.0232907
"epiyear_1999",3,0.0270254
"epiyear_1999",3,0.0350454
"epiyear_1999",3,0.0540799
"epiyear_1999",3,0.0704228
"epiyear_1999",3,0.0676846
"epiyear_1999",3,0.0552808
"epiyear_1999",3,0.0380508
"epiyear_1999",3,0.0341177
"epiyear_1999",3,0.024
"epiyear_1999",3,0.018912
"epiyear_1999",3,0.0135503
"epiyear_1999",3,0.0133212
"epiyear_1999",3,0.0149127
"epiyear_1999",3,0.0126826
"epiyear_1999",3,0.0105854
"epiyear_1999",3,0.0092201
"epiyear_1999",4,0.00892334
"epiyear_1999",4,0.00929201
"epiyear_1999",4,0.00655592
"epiyear_1999",4,0.00607002
"epiyear_1999",4,0.00600003
"epiyear_1999",4,0.00547247
"epiyear_1999",4,0.00476417
"epiyear_1999",4,0.00445917
"epiyear_1999",4,0
"epiyear_1999",4,0
"epiyear_2000",4,0.0104113
"epiyear_2000",4,0.012871
"epiyear_2000",4,0.0128299
"epiyear_2000",4,0.0134081
"epiyear_2000",4,0.010555
"epiyear_2000",4,0.0114136
"epiyear_2000",4,0.0144111
"epiyear_2000",4,0.0195735
"epiyear_2000",4,0.0161928
"epiyear_2000",4,0.017844
"epiyear_2000",5,0.0234423
"epiyear_2000",5,0.0269528
"epiyear_2000",5,0.038618
"epiyear_2000",5,0.03505
"epiyear_2000",5,0.0343804
"epiyear_2000",5,0.043928
"epiyear_2000",5,0.0421339
"epiyear_2000",5,0.0435364
"epiyear_2000",5,0.0369969
"epiyear_2000",5,0.0281921
"epiyear_2000",5,0.0255294
"epiyear_2000",5,0.0190167
"epiyear_2000",5,0.0168033
"epiyear_2000",5,0.016254
"epiyear_2000",5,0.0145957
"epiyear_2000",5,0.0132376
"epiyear_2000",5,0.00920073
"epiyear_2000",5,0.00779257
"epiyear_2000",5,0.00991303
"epiyear_2000",5,0.0082693
"epiyear_2000",6,0.00588952
"epiyear_2000",6,0.00605586
"epiyear_2000",6,0.0049434
"epiyear_2000",6,0
"epiyear_2000",6,0
"epiyear_2001",6,0.0141046
"epiyear_2001",6,0.0177019
"epiyear_2001",6,0.0161904
"epiyear_2001",6,0.0177065
